topic,pmid,human,stratum,N_stratum,n_sampled,weight,pool_size
CD007431,5269867,0,non_eligible,2050,100,20.5,2074
CD007431,8852320,0,non_eligible,2050,100,20.5,2074
CD007431,6225597,0,non_eligible,2050,100,20.5,2074
CD007431,2303871,0,non_eligible,2050,100,20.5,2074
CD007431,12163718,0,non_eligible,2050,100,20.5,2074
CD007431,16759773,0,non_eligible,2050,100,20.5,2074
CD007431,377120,0,non_eligible,2050,100,20.5,2074
CD007431,12592544,0,non_eligible,2050,100,20.5,2074
CD007431,6867860,0,non_eligible,2050,100,20.5,2074
CD007431,6844850,0,non_eligible,2050,100,20.5,2074
CD007431,12474752,0,non_eligible,2050,100,20.5,2074
CD007431,4417652,0,non_eligible,2050,100,20.5,2074
CD007431,163892,0,non_eligible,2050,100,20.5,2074
CD007431,10631642,0,non_eligible,2050,100,20.5,2074
CD007431,15039249,0,non_eligible,2050,100,20.5,2074
CD007431,16865021,0,non_eligible,2050,100,20.5,2074
CD007431,3561740,0,non_eligible,2050,100,20.5,2074
CD007431,3035838,0,non_eligible,2050,100,20.5,2074
CD007431,162546,0,non_eligible,2050,100,20.5,2074
CD007431,12642766,0,non_eligible,2050,100,20.5,2074
CD007431,14639591,0,non_eligible,2050,100,20.5,2074
CD007431,1533326,0,non_eligible,2050,100,20.5,2074
CD007431,6410731,0,non_eligible,2050,100,20.5,2074
CD007431,14594653,0,non_eligible,2050,100,20.5,2074
CD007431,9280027,0,non_eligible,2050,100,20.5,2074
CD007431,16768220,0,non_eligible,2050,100,20.5,2074
CD007431,6089537,0,non_eligible,2050,100,20.5,2074
CD007431,18084782,0,non_eligible,2050,100,20.5,2074
CD007431,6497609,0,non_eligible,2050,100,20.5,2074
CD007431,8731237,0,non_eligible,2050,100,20.5,2074
CD007431,17023848,0,non_eligible,2050,100,20.5,2074
CD007431,11082550,0,non_eligible,2050,100,20.5,2074
CD007431,7845508,0,non_eligible,2050,100,20.5,2074
CD007431,2954226,0,non_eligible,2050,100,20.5,2074
CD007431,18418138,0,non_eligible,2050,100,20.5,2074
CD007431,12938067,0,non_eligible,2050,100,20.5,2074
CD007431,8988083,0,non_eligible,2050,100,20.5,2074
CD007431,15996606,0,non_eligible,2050,100,20.5,2074
CD007431,9728941,0,non_eligible,2050,100,20.5,2074
CD007431,2138156,0,non_eligible,2050,100,20.5,2074
CD007431,10488503,0,non_eligible,2050,100,20.5,2074
CD007431,8483516,0,non_eligible,2050,100,20.5,2074
CD007431,3211249,0,non_eligible,2050,100,20.5,2074
CD007431,10528382,0,non_eligible,2050,100,20.5,2074
CD007431,7638662,0,non_eligible,2050,100,20.5,2074
CD007431,2384506,0,non_eligible,2050,100,20.5,2074
CD007431,8047356,0,non_eligible,2050,100,20.5,2074
CD007431,10815135,0,non_eligible,2050,100,20.5,2074
CD007431,17762803,0,non_eligible,2050,100,20.5,2074
CD007431,15895806,0,non_eligible,2050,100,20.5,2074
CD007431,157532,0,non_eligible,2050,100,20.5,2074
CD007431,11372956,0,non_eligible,2050,100,20.5,2074
CD007431,4358058,0,non_eligible,2050,100,20.5,2074
CD007431,15262072,0,non_eligible,2050,100,20.5,2074
CD007431,9479415,0,non_eligible,2050,100,20.5,2074
CD008081,21996307,1,eligible,26,26,1.0,970
CD008081,9479300,1,eligible,26,26,1.0,970
CD008081,17502499,1,eligible,26,26,1.0,970
CD008081,18316700,1,eligible,26,26,1.0,970
CD008081,17063373,1,eligible,26,26,1.0,970
CD008081,20451897,1,eligible,26,26,1.0,970
CD008081,20484587,1,eligible,26,26,1.0,970
CD008081,11401636,1,eligible,26,26,1.0,970
CD008081,15802932,1,eligible,26,26,1.0,970
CD008081,19996821,1,eligible,26,26,1.0,970
CD008081,22952119,1,eligible,26,26,1.0,970
CD008081,10896351,1,eligible,26,26,1.0,970
CD008081,15051203,1,eligible,26,26,1.0,970
CD008081,12476103,1,eligible,26,26,1.0,970
CD008081,22872201,1,eligible,26,26,1.0,970
CD008081,16647123,1,eligible,26,26,1.0,970
CD008081,20530184,1,eligible,26,26,1.0,970
CD008081,15006844,1,eligible,26,26,1.0,970
CD008081,16799051,1,eligible,26,26,1.0,970
CD008081,11773037,1,eligible,26,26,1.0,970
CD008081,22323463,1,eligible,26,26,1.0,970
CD008081,12510717,1,eligible,26,26,1.0,970
CD008081,22137207,1,eligible,26,26,1.0,970
CD008081,10372879,1,eligible,26,26,1.0,970
CD008081,16395139,1,eligible,26,26,1.0,970
CD008081,19118697,1,eligible,26,26,1.0,970
CD008081,17591904,0,non_eligible,944,100,9.44,970
CD008081,4041157,0,non_eligible,944,100,9.44,970
CD008081,17093998,0,non_eligible,944,100,9.44,970
CD008081,19940530,0,non_eligible,944,100,9.44,970
CD008081,21376246,0,non_eligible,944,100,9.44,970
CD008081,22441027,0,non_eligible,944,100,9.44,970
CD008081,16889833,0,non_eligible,944,100,9.44,970
CD008081,21283169,0,non_eligible,944,100,9.44,970
CD008081,16188001,0,non_eligible,944,100,9.44,970
CD008081,17876597,0,non_eligible,944,100,9.44,970
CD008081,21730347,0,non_eligible,944,100,9.44,970
CD008081,19060271,0,non_eligible,944,100,9.44,970
CD008081,22785535,0,non_eligible,944,100,9.44,970
CD008081,20523361,0,non_eligible,944,100,9.44,970
CD008081,20703037,0,non_eligible,944,100,9.44,970
CD008081,9802759,0,non_eligible,944,100,9.44,970
CD008081,20577866,0,non_eligible,944,100,9.44,970
CD008081,23121699,0,non_eligible,944,100,9.44,970
CD008081,23111610,0,non_eligible,944,100,9.44,970
CD008081,15628644,0,non_eligible,944,100,9.44,970
CD008081,9091712,0,non_eligible,944,100,9.44,970
CD008081,18067962,0,non_eligible,944,100,9.44,970
CD008081,19568355,0,non_eligible,944,100,9.44,970
CD008081,19430285,0,non_eligible,944,100,9.44,970
CD008081,8738460,0,non_eligible,944,100,9.44,970
CD008081,16281735,0,non_eligible,944,100,9.44,970
CD008081,11483079,0,non_eligible,944,100,9.44,970
CD008081,1951588,0,non_eligible,944,100,9.44,970
CD008081,20003824,0,non_eligible,944,100,9.44,970
CD008081,17472415,0,non_eligible,944,100,9.44,970
CD008081,15465566,0,non_eligible,944,100,9.44,970
CD008081,20221984,0,non_eligible,944,100,9.44,970
CD008081,23204247,0,non_eligible,944,100,9.44,970
CD008081,11475391,0,non_eligible,944,100,9.44,970
CD008081,14733133,0,non_eligible,944,100,9.44,970
CD008081,21735421,0,non_eligible,944,100,9.44,970
CD008081,11723088,0,non_eligible,944,100,9.44,970
CD008081,18997608,0,non_eligible,944,100,9.44,970
CD008081,23298885,0,non_eligible,944,100,9.44,970
CD008081,12507629,0,non_eligible,944,100,9.44,970
CD008081,20594160,0,non_eligible,944,100,9.44,970
CD008081,19373126,0,non_eligible,944,100,9.44,970
CD008081,14744905,0,non_eligible,944,100,9.44,970
CD008081,16395132,0,non_eligible,944,100,9.44,970
CD008081,17803438,0,non_eligible,944,100,9.44,970
CD008081,17697178,0,non_eligible,944,100,9.44,970
CD008081,23374377,0,non_eligible,944,100,9.44,970
CD008081,22331146,0,non_eligible,944,100,9.44,970
CD008081,2624726,0,non_eligible,944,100,9.44,970
CD008081,11133709,0,non_eligible,944,100,9.44,970
CD008081,21647567,0,non_eligible,944,100,9.44,970
CD008081,20827486,0,non_eligible,944,100,9.44,970
CD008081,22882318,0,non_eligible,944,100,9.44,970
CD008081,14566626,0,non_eligible,944,100,9.44,970
CD008081,22550713,0,non_eligible,944,100,9.44,970
CD008081,16386973,0,non_eligible,944,100,9.44,970
CD008081,23470789,0,non_eligible,944,100,9.44,970
CD008081,18097816,0,non_eligible,944,100,9.44,970
CD008081,16751756,0,non_eligible,944,100,9.44,970
CD008081,19039480,0,non_eligible,944,100,9.44,970
CD008081,17229807,0,non_eligible,944,100,9.44,970
CD008081,12566041,0,non_eligible,944,100,9.44,970
CD008081,19702711,0,non_eligible,944,100,9.44,970
CD008081,20465107,0,non_eligible,944,100,9.44,970
CD008081,19699533,0,non_eligible,944,100,9.44,970
CD008081,15234306,0,non_eligible,944,100,9.44,970
CD008081,7662623,0,non_eligible,944,100,9.44,970
CD008081,18420749,0,non_eligible,944,100,9.44,970
CD008081,11755866,0,non_eligible,944,100,9.44,970
CD008081,23548318,0,non_eligible,944,100,9.44,970
CD008081,16604810,0,non_eligible,944,100,9.44,970
CD008081,21314440,0,non_eligible,944,100,9.44,970
CD008081,19535358,0,non_eligible,944,100,9.44,970
CD008081,20616686,0,non_eligible,944,100,9.44,970
CD008081,22491395,0,non_eligible,944,100,9.44,970
CD008081,20970010,0,non_eligible,944,100,9.44,970
CD008081,19924672,0,non_eligible,944,100,9.44,970
CD008081,20703041,0,non_eligible,944,100,9.44,970
CD008081,15465570,0,non_eligible,944,100,9.44,970
CD008081,23303431,0,non_eligible,944,100,9.44,970
CD008081,14669032,0,non_eligible,944,100,9.44,970
CD008081,21567211,0,non_eligible,944,100,9.44,970
CD008081,22428627,0,non_eligible,944,100,9.44,970
CD008081,21886189,0,non_eligible,944,100,9.44,970
CD008081,18756796,0,non_eligible,944,100,9.44,970
CD008081,23337517,0,non_eligible,944,100,9.44,970
CD008081,15658007,0,non_eligible,944,100,9.44,970
CD008081,19019945,0,non_eligible,944,100,9.44,970
CD008081,19729104,0,non_eligible,944,100,9.44,970
CD008081,15592868,0,non_eligible,944,100,9.44,970
CD008081,20597042,0,non_eligible,944,100,9.44,970
CD008081,23793175,0,non_eligible,944,100,9.44,970
CD008081,19273785,0,non_eligible,944,100,9.44,970
CD008081,17180527,0,non_eligible,944,100,9.44,970
CD008081,16572358,0,non_eligible,944,100,9.44,970
CD008081,18784623,0,non_eligible,944,100,9.44,970
CD008081,15687920,0,non_eligible,944,100,9.44,970
CD008081,22495998,0,non_eligible,944,100,9.44,970
CD008081,19266465,0,non_eligible,944,100,9.44,970
CD008081,19882573,0,non_eligible,944,100,9.44,970
CD008760,18082473,1,eligible,12,12,1.0,64
CD008760,18058656,1,eligible,12,12,1.0,64
CD008760,19337246,1,eligible,12,12,1.0,64
CD008760,20490679,1,eligible,12,12,1.0,64
CD008760,22155754,1,eligible,12,12,1.0,64
CD008760,20363433,1,eligible,12,12,1.0,64
CD008760,16429352,1,eligible,12,12,1.0,64
CD008760,18680226,1,eligible,12,12,1.0,64
CD008760,15842580,1,eligible,12,12,1.0,64
CD008760,16429353,1,eligible,12,12,1.0,64
CD008760,18435461,1,eligible,12,12,1.0,64
CD008760,21814064,1,eligible,12,12,1.0,64
CD008760,23029720,0,non_eligible,52,52,1.0,64
CD008760,19646642,0,non_eligible,52,52,1.0,64
CD008760,19679416,0,non_eligible,52,52,1.0,64
CD008760,14618949,0,non_eligible,52,52,1.0,64
CD008760,18277884,0,non_eligible,52,52,1.0,64
CD008760,16435503,0,non_eligible,52,52,1.0,64
CD008760,21274889,0,non_eligible,52,52,1.0,64
CD008760,17905009,0,non_eligible,52,52,1.0,64
CD008760,19673028,0,non_eligible,52,52,1.0,64
CD008760,18227890,0,non_eligible,52,52,1.0,64
CD008760,17415347,0,non_eligible,52,52,1.0,64
CD008760,20135731,0,non_eligible,52,52,1.0,64
CD008760,19191853,0,non_eligible,52,52,1.0,64
CD008760,17018501,0,non_eligible,52,52,1.0,64
CD008760,20682230,0,non_eligible,52,52,1.0,64
CD008760,19809355,0,non_eligible,52,52,1.0,64
CD008760,23593613,0,non_eligible,52,52,1.0,64
CD008760,18785275,0,non_eligible,52,52,1.0,64
CD008760,18790438,0,non_eligible,52,52,1.0,64
CD008760,19743993,0,non_eligible,52,52,1.0,64
CD008760,22379346,0,non_eligible,52,52,1.0,64
CD008760,18478132,0,non_eligible,52,52,1.0,64
CD008760,18047544,0,non_eligible,52,52,1.0,64
CD008760,22346246,0,non_eligible,52,52,1.0,64
CD008760,18028926,0,non_eligible,52,52,1.0,64
CD008760,17827950,0,non_eligible,52,52,1.0,64
CD008760,20684186,0,non_eligible,52,52,1.0,64
CD008760,16185966,0,non_eligible,52,52,1.0,64
CD008760,19271599,0,non_eligible,52,52,1.0,64
CD008760,19291827,0,non_eligible,52,52,1.0,64
CD008760,16644462,0,non_eligible,52,52,1.0,64
CD008760,18636658,0,non_eligible,52,52,1.0,64
CD008760,19568182,0,non_eligible,52,52,1.0,64
CD008760,18790434,0,non_eligible,52,52,1.0,64
CD008760,19661814,0,non_eligible,52,52,1.0,64
CD008760,12510456,0,non_eligible,52,52,1.0,64
CD008760,17611174,0,non_eligible,52,52,1.0,64
CD008760,17912188,0,non_eligible,52,52,1.0,64
CD008760,18360329,0,non_eligible,52,52,1.0,64
CD008760,16944004,0,non_eligible,52,52,1.0,64
CD008760,18706733,0,non_eligible,52,52,1.0,64
CD008760,20054320,0,non_eligible,52,52,1.0,64
CD008760,21372764,0,non_eligible,52,52,1.0,64
CD008760,16053016,0,non_eligible,52,52,1.0,64
CD008760,18294933,0,non_eligible,52,52,1.0,64
CD008760,16894311,0,non_eligible,52,52,1.0,64
CD008760,21624583,0,non_eligible,52,52,1.0,64
CD008760,19396956,0,non_eligible,52,52,1.0,64
CD008760,18210340,0,non_eligible,52,52,1.0,64
CD008760,21429016,0,non_eligible,52,52,1.0,64
CD008760,18477965,0,non_eligible,52,52,1.0,64
CD008760,17545780,0,non_eligible,52,52,1.0,64
CD008782,21297262,1,eligible,45,45,1.0,10507
CD008782,17124416,1,eligible,45,45,1.0,10507
CD008782,19584444,1,eligible,45,45,1.0,10507
CD008782,20625095,1,eligible,45,45,1.0,10507
CD008782,18525127,1,eligible,45,45,1.0,10507
CD008782,18486992,1,eligible,45,45,1.0,10507
CD008782,16488378,1,eligible,45,45,1.0,10507
CD008782,12433260,1,eligible,45,45,1.0,10507
CD008782,18535375,1,eligible,45,45,1.0,10507
CD008782,22302554,1,eligible,45,45,1.0,10507
CD008782,19622817,1,eligible,45,45,1.0,10507
CD008782,20625167,1,eligible,45,45,1.0,10507
CD008782,14615052,1,eligible,45,45,1.0,10507
CD008782,17374949,1,eligible,45,45,1.0,10507
CD008782,19864909,1,eligible,45,45,1.0,10507
CD008782,19939224,1,eligible,45,45,1.0,10507
CD008782,21220682,1,eligible,45,45,1.0,10507
CD008782,19296504,1,eligible,45,45,1.0,10507
CD008782,22475796,1,eligible,45,45,1.0,10507
CD008782,20478847,1,eligible,45,45,1.0,10507
CD008782,21460434,1,eligible,45,45,1.0,10507
CD008782,21399907,1,eligible,45,45,1.0,10507
CD008782,14699432,1,eligible,45,45,1.0,10507
CD008782,22213792,1,eligible,45,45,1.0,10507
CD008782,20697045,1,eligible,45,45,1.0,10507
CD008782,16274728,1,eligible,45,45,1.0,10507
CD008782,21898322,1,eligible,45,45,1.0,10507
CD008782,19236926,1,eligible,45,45,1.0,10507
CD008782,21700579,1,eligible,45,45,1.0,10507
CD008782,20935035,1,eligible,45,45,1.0,10507
CD008782,21159408,1,eligible,45,45,1.0,10507
CD008782,19628938,1,eligible,45,45,1.0,10507
CD008782,16546302,1,eligible,45,45,1.0,10507
CD008782,20632026,1,eligible,45,45,1.0,10507
CD008782,21670386,1,eligible,45,45,1.0,10507
CD008782,21440911,1,eligible,45,45,1.0,10507
CD008782,19965857,1,eligible,45,45,1.0,10507
CD008782,19684400,1,eligible,45,45,1.0,10507
CD008782,19748159,1,eligible,45,45,1.0,10507
CD008782,21998317,1,eligible,45,45,1.0,10507
CD008782,22057225,1,eligible,45,45,1.0,10507
CD008782,18401021,1,eligible,45,45,1.0,10507
CD008782,15824371,1,eligible,45,45,1.0,10507
CD008782,20930282,1,eligible,45,45,1.0,10507
CD008782,19420940,1,eligible,45,45,1.0,10507
CD008782,16599843,0,non_eligible,10462,100,104.62,10507
CD008782,2453365,0,non_eligible,10462,100,104.62,10507
CD008782,9585727,0,non_eligible,10462,100,104.62,10507
CD008782,9376964,0,non_eligible,10462,100,104.62,10507
CD008782,16059609,0,non_eligible,10462,100,104.62,10507
CD008782,2635018,0,non_eligible,10462,100,104.62,10507
CD008782,17608885,0,non_eligible,10462,100,104.62,10507
CD008782,20687117,0,non_eligible,10462,100,104.62,10507
CD008782,1406936,0,non_eligible,10462,100,104.62,10507
CD008782,18781290,0,non_eligible,10462,100,104.62,10507
CD008782,9314873,0,non_eligible,10462,100,104.62,10507
CD008782,17226745,0,non_eligible,10462,100,104.62,10507
CD008782,17406865,0,non_eligible,10462,100,104.62,10507
CD008782,11021833,0,non_eligible,10462,100,104.62,10507
CD008782,8665264,0,non_eligible,10462,100,104.62,10507
CD008782,21135428,0,non_eligible,10462,100,104.62,10507
CD008782,22107790,0,non_eligible,10462,100,104.62,10507
CD008782,19523795,0,non_eligible,10462,100,104.62,10507
CD008782,7951680,0,non_eligible,10462,100,104.62,10507
CD008782,19097908,0,non_eligible,10462,100,104.62,10507
CD008782,14514024,0,non_eligible,10462,100,104.62,10507
CD008782,2452557,0,non_eligible,10462,100,104.62,10507
CD008782,22244037,0,non_eligible,10462,100,104.62,10507
CD008782,10751266,0,non_eligible,10462,100,104.62,10507
CD008782,15916898,0,non_eligible,10462,100,104.62,10507
CD008782,22996692,0,non_eligible,10462,100,104.62,10507
CD008782,18853247,0,non_eligible,10462,100,104.62,10507
CD008782,16914413,0,non_eligible,10462,100,104.62,10507
CD008782,2941106,0,non_eligible,10462,100,104.62,10507
CD008782,17709155,0,non_eligible,10462,100,104.62,10507
CD008782,22328928,0,non_eligible,10462,100,104.62,10507
CD008782,2209477,0,non_eligible,10462,100,104.62,10507
CD008782,15305858,0,non_eligible,10462,100,104.62,10507
CD008782,21365456,0,non_eligible,10462,100,104.62,10507
CD008782,10586414,0,non_eligible,10462,100,104.62,10507
CD008782,15200289,0,non_eligible,10462,100,104.62,10507
CD008782,5770356,0,non_eligible,10462,100,104.62,10507
CD008782,15965197,0,non_eligible,10462,100,104.62,10507
CD008782,21559028,0,non_eligible,10462,100,104.62,10507
CD008782,9409337,0,non_eligible,10462,100,104.62,10507
CD008782,15772611,0,non_eligible,10462,100,104.62,10507
CD008782,6452193,0,non_eligible,10462,100,104.62,10507
CD008782,21599654,0,non_eligible,10462,100,104.62,10507
CD008782,20555144,0,non_eligible,10462,100,104.62,10507
CD008782,3595662,0,non_eligible,10462,100,104.62,10507
CD008782,8159260,0,non_eligible,10462,100,104.62,10507
CD008782,4541480,0,non_eligible,10462,100,104.62,10507
CD008782,12525746,0,non_eligible,10462,100,104.62,10507
CD008782,10936884,0,non_eligible,10462,100,104.62,10507
CD008782,21819975,0,non_eligible,10462,100,104.62,10507
CD008782,12917125,0,non_eligible,10462,100,104.62,10507
CD008782,15099158,0,non_eligible,10462,100,104.62,10507
CD008782,17425458,0,non_eligible,10462,100,104.62,10507
CD008782,9109887,0,non_eligible,10462,100,104.62,10507
CD008782,2421949,0,non_eligible,10462,100,104.62,10507
CD008782,22855864,0,non_eligible,10462,100,104.62,10507
CD008782,21955818,0,non_eligible,10462,100,104.62,10507
CD008782,12403806,0,non_eligible,10462,100,104.62,10507
CD008782,17060133,0,non_eligible,10462,100,104.62,10507
CD008782,8244047,0,non_eligible,10462,100,104.62,10507
CD008782,19116299,0,non_eligible,10462,100,104.62,10507
CD008782,6215816,0,non_eligible,10462,100,104.62,10507
CD008782,9070837,0,non_eligible,10462,100,104.62,10507
CD008782,8201476,0,non_eligible,10462,100,104.62,10507
CD008782,9703169,0,non_eligible,10462,100,104.62,10507
CD008782,20169776,0,non_eligible,10462,100,104.62,10507
CD008782,22136538,0,non_eligible,10462,100,104.62,10507
CD008782,8741132,0,non_eligible,10462,100,104.62,10507
CD008782,11117548,0,non_eligible,10462,100,104.62,10507
CD008782,21921445,0,non_eligible,10462,100,104.62,10507
CD008782,17321055,0,non_eligible,10462,100,104.62,10507
CD008782,18986240,0,non_eligible,10462,100,104.62,10507
CD008782,20216394,0,non_eligible,10462,100,104.62,10507
CD008782,11175322,0,non_eligible,10462,100,104.62,10507
CD008782,16718347,0,non_eligible,10462,100,104.62,10507
CD008782,7496909,0,non_eligible,10462,100,104.62,10507
CD008782,10428104,0,non_eligible,10462,100,104.62,10507
CD008782,20866111,0,non_eligible,10462,100,104.62,10507
CD008782,16092117,0,non_eligible,10462,100,104.62,10507
CD008782,22710906,0,non_eligible,10462,100,104.62,10507
CD008782,12430716,0,non_eligible,10462,100,104.62,10507
CD008782,19268975,0,non_eligible,10462,100,104.62,10507
CD008782,21126996,0,non_eligible,10462,100,104.62,10507
CD008782,8872870,0,non_eligible,10462,100,104.62,10507
CD008782,9707339,0,non_eligible,10462,100,104.62,10507
CD008782,3477820,0,non_eligible,10462,100,104.62,10507
CD008782,50947,0,non_eligible,10462,100,104.62,10507
CD008782,12871283,0,non_eligible,10462,100,104.62,10507
CD008782,16958834,0,non_eligible,10462,100,104.62,10507
CD008782,16627931,0,non_eligible,10462,100,104.62,10507
CD008782,8406058,0,non_eligible,10462,100,104.62,10507
CD008782,16877299,0,non_eligible,10462,100,104.62,10507
CD008782,16298237,0,non_eligible,10462,100,104.62,10507
CD008782,7473539,0,non_eligible,10462,100,104.62,10507
CD008782,19682133,0,non_eligible,10462,100,104.62,10507
CD008782,21630636,0,non_eligible,10462,100,104.62,10507
CD008782,12505619,0,non_eligible,10462,100,104.62,10507
CD008782,17964720,0,non_eligible,10462,100,104.62,10507
CD008782,19818105,0,non_eligible,10462,100,104.62,10507
CD008782,2557640,0,non_eligible,10462,100,104.62,10507
CD008803,17693382,1,eligible,99,99,1.0,5220
CD008803,23532529,1,eligible,99,99,1.0,5220
CD008803,16965496,1,eligible,99,99,1.0,5220
CD008803,25448991,1,eligible,99,99,1.0,5220
CD008803,24610541,1,eligible,99,99,1.0,5220
CD008803,20520570,1,eligible,99,99,1.0,5220
CD008803,17270671,1,eligible,99,99,1.0,5220
CD008803,19218992,1,eligible,99,99,1.0,5220
CD008803,16949444,1,eligible,99,99,1.0,5220
CD008803,17868631,1,eligible,99,99,1.0,5220
CD008803,16001380,1,eligible,99,99,1.0,5220
CD008803,23737470,1,eligible,99,99,1.0,5220
CD008803,24492506,1,eligible,99,99,1.0,5220
CD008803,22266520,1,eligible,99,99,1.0,5220
CD008803,22265147,1,eligible,99,99,1.0,5220
CD008803,19737881,1,eligible,99,99,1.0,5220
CD008803,22079964,1,eligible,99,99,1.0,5220
CD008803,22365056,1,eligible,99,99,1.0,5220
CD008803,19969365,1,eligible,99,99,1.0,5220
CD008803,22914498,1,eligible,99,99,1.0,5220
CD008803,17460267,1,eligible,99,99,1.0,5220
CD008803,16292656,1,eligible,99,99,1.0,5220
CD008803,24114539,1,eligible,99,99,1.0,5220
CD008803,19834029,1,eligible,99,99,1.0,5220
CD008803,18344755,1,eligible,99,99,1.0,5220
CD008803,18078851,1,eligible,99,99,1.0,5220
CD008803,24716836,1,eligible,99,99,1.0,5220
CD008803,23970337,1,eligible,99,99,1.0,5220
CD008803,23462754,1,eligible,99,99,1.0,5220
CD008803,20851372,1,eligible,99,99,1.0,5220
CD008803,20663563,1,eligible,99,99,1.0,5220
CD008803,15790898,1,eligible,99,99,1.0,5220
CD008803,12583788,1,eligible,99,99,1.0,5220
CD008803,22027931,1,eligible,99,99,1.0,5220
CD008803,15953430,1,eligible,99,99,1.0,5220
CD008803,22410556,1,eligible,99,99,1.0,5220
CD008803,16870651,1,eligible,99,99,1.0,5220
CD008803,19797208,1,eligible,99,99,1.0,5220
CD008803,23777476,1,eligible,99,99,1.0,5220
CD008803,21474186,1,eligible,99,99,1.0,5220
CD008803,16043858,1,eligible,99,99,1.0,5220
CD008803,18521768,1,eligible,99,99,1.0,5220
CD008803,23818227,1,eligible,99,99,1.0,5220
CD008803,21377735,1,eligible,99,99,1.0,5220
CD008803,18045569,1,eligible,99,99,1.0,5220
CD008803,23539100,1,eligible,99,99,1.0,5220
CD008803,25015361,1,eligible,99,99,1.0,5220
CD008803,20930859,1,eligible,99,99,1.0,5220
CD008803,15465547,1,eligible,99,99,1.0,5220
