topic,pmid,human,stratum,N_stratum,n_sampled,weight,pool_size,lab_openai
CD008760,17415347,0,non_eligible,52,52,1.0,64,1
CD008760,19191853,0,non_eligible,52,52,1.0,64,2
CD008760,17018501,0,non_eligible,52,52,1.0,64,1
CD008760,20682230,0,non_eligible,52,52,1.0,64,2
CD008760,19809355,0,non_eligible,52,52,1.0,64,3
CD008760,23593613,0,non_eligible,52,52,1.0,64,0
CD008760,18785275,0,non_eligible,52,52,1.0,64,1
CD008760,19743993,0,non_eligible,52,52,1.0,64,1
CD008760,18047544,0,non_eligible,52,52,1.0,64,0
CD008760,22346246,0,non_eligible,52,52,1.0,64,1
CD008760,17827950,0,non_eligible,52,52,1.0,64,2
CD008760,20684186,0,non_eligible,52,52,1.0,64,2
CD008760,16185966,0,non_eligible,52,52,1.0,64,1
CD008760,19271599,0,non_eligible,52,52,1.0,64,0
CD008760,19291827,0,non_eligible,52,52,1.0,64,3
CD008760,16644462,0,non_eligible,52,52,1.0,64,1
CD008760,18636658,0,non_eligible,52,52,1.0,64,1
CD008760,19568182,0,non_eligible,52,52,1.0,64,3
CD008760,19661814,0,non_eligible,52,52,1.0,64,3
CD008760,17611174,0,non_eligible,52,52,1.0,64,1
CD008760,18360329,0,non_eligible,52,52,1.0,64,1
CD008760,16944004,0,non_eligible,52,52,1.0,64,1
CD008760,18706733,0,non_eligible,52,52,1.0,64,2
CD008760,21372764,0,non_eligible,52,52,1.0,64,3
CD008760,16053016,0,non_eligible,52,52,1.0,64,0
CD008760,18294933,0,non_eligible,52,52,1.0,64,2
CD008760,16894311,0,non_eligible,52,52,1.0,64,3
CD008760,19396956,0,non_eligible,52,52,1.0,64,2
CD008760,18210340,0,non_eligible,52,52,1.0,64,0
CD008760,17545780,0,non_eligible,52,52,1.0,64,3
CD008782,21297262,1,eligible,45,45,1.0,10507,3
CD008782,17124416,1,eligible,45,45,1.0,10507,2
CD008782,19584444,1,eligible,45,45,1.0,10507,2
CD008782,20625095,1,eligible,45,45,1.0,10507,1
CD008782,18525127,1,eligible,45,45,1.0,10507,2
CD008782,18486992,1,eligible,45,45,1.0,10507,2
CD008782,16488378,1,eligible,45,45,1.0,10507,3
CD008782,12433260,1,eligible,45,45,1.0,10507,2
CD008782,18535375,1,eligible,45,45,1.0,10507,2
CD008782,22302554,1,eligible,45,45,1.0,10507,3
CD008782,19622817,1,eligible,45,45,1.0,10507,3
CD008782,20625167,1,eligible,45,45,1.0,10507,1
CD008782,14615052,1,eligible,45,45,1.0,10507,3
CD008782,17374949,1,eligible,45,45,1.0,10507,3
CD008782,19864909,1,eligible,45,45,1.0,10507,2
CD008782,21220682,1,eligible,45,45,1.0,10507,3
CD008782,19296504,1,eligible,45,45,1.0,10507,3
CD008782,22475796,1,eligible,45,45,1.0,10507,3
CD008782,21460434,1,eligible,45,45,1.0,10507,2
CD008782,21399907,1,eligible,45,45,1.0,10507,3
CD008782,14699432,1,eligible,45,45,1.0,10507,3
CD008782,22213792,1,eligible,45,45,1.0,10507,3
CD008782,20697045,1,eligible,45,45,1.0,10507,2
CD008782,21898322,1,eligible,45,45,1.0,10507,3
CD008782,19236926,1,eligible,45,45,1.0,10507,2
CD008782,21700579,1,eligible,45,45,1.0,10507,2
CD008782,20935035,1,eligible,45,45,1.0,10507,3
CD008782,21159408,1,eligible,45,45,1.0,10507,2
CD008782,16546302,1,eligible,45,45,1.0,10507,3
CD008782,20632026,1,eligible,45,45,1.0,10507,3
CD008782,21670386,1,eligible,45,45,1.0,10507,2
CD008782,21440911,1,eligible,45,45,1.0,10507,3
CD008782,19965857,1,eligible,45,45,1.0,10507,2
CD008782,19684400,1,eligible,45,45,1.0,10507,2
CD008782,19748159,1,eligible,45,45,1.0,10507,2
CD008782,21998317,1,eligible,45,45,1.0,10507,2
CD008782,18401021,1,eligible,45,45,1.0,10507,2
CD008782,15824371,1,eligible,45,45,1.0,10507,3
CD008782,20930282,1,eligible,45,45,1.0,10507,2
CD008782,19420940,1,eligible,45,45,1.0,10507,2
CD008782,2453365,0,non_eligible,10462,100,104.62,10507,0
CD008782,9376964,0,non_eligible,10462,100,104.62,10507,0
CD008782,2635018,0,non_eligible,10462,100,104.62,10507,0
CD008782,11021833,0,non_eligible,10462,100,104.62,10507,1
CD008782,8665264,0,non_eligible,10462,100,104.62,10507,0
CD008782,22107790,0,non_eligible,10462,100,104.62,10507,0
CD008782,2452557,0,non_eligible,10462,100,104.62,10507,1
CD008782,22244037,0,non_eligible,10462,100,104.62,10507,3
CD008782,15916898,0,non_eligible,10462,100,104.62,10507,1
CD008782,18853247,0,non_eligible,10462,100,104.62,10507,0
CD008782,2941106,0,non_eligible,10462,100,104.62,10507,0
CD008782,5770356,0,non_eligible,10462,100,104.62,10507,0
CD008782,15965197,0,non_eligible,10462,100,104.62,10507,1
CD008782,21559028,0,non_eligible,10462,100,104.62,10507,0
CD008782,15772611,0,non_eligible,10462,100,104.62,10507,0
CD008782,6452193,0,non_eligible,10462,100,104.62,10507,0
CD008782,20555144,0,non_eligible,10462,100,104.62,10507,1
CD008782,4541480,0,non_eligible,10462,100,104.62,10507,0
CD008782,12525746,0,non_eligible,10462,100,104.62,10507,0
CD008782,21819975,0,non_eligible,10462,100,104.62,10507,1
CD008782,9109887,0,non_eligible,10462,100,104.62,10507,1
CD008782,21955818,0,non_eligible,10462,100,104.62,10507,1
CD008782,12403806,0,non_eligible,10462,100,104.62,10507,1
CD008782,17060133,0,non_eligible,10462,100,104.62,10507,0
CD008782,8244047,0,non_eligible,10462,100,104.62,10507,0
CD008782,19116299,0,non_eligible,10462,100,104.62,10507,1
CD008782,6215816,0,non_eligible,10462,100,104.62,10507,2
CD008782,9703169,0,non_eligible,10462,100,104.62,10507,0
CD008782,20169776,0,non_eligible,10462,100,104.62,10507,1
CD008782,18986240,0,non_eligible,10462,100,104.62,10507,1
CD008782,20216394,0,non_eligible,10462,100,104.62,10507,1
CD008782,22710906,0,non_eligible,10462,100,104.62,10507,0
CD008782,9707339,0,non_eligible,10462,100,104.62,10507,0
CD008782,3477820,0,non_eligible,10462,100,104.62,10507,1
CD008782,16877299,0,non_eligible,10462,100,104.62,10507,0
CD008782,7473539,0,non_eligible,10462,100,104.62,10507,1
CD008782,12505619,0,non_eligible,10462,100,104.62,10507,1
CD008782,17964720,0,non_eligible,10462,100,104.62,10507,2
CD008782,19818105,0,non_eligible,10462,100,104.62,10507,0
CD008782,2557640,0,non_eligible,10462,100,104.62,10507,0
CD008803,17693382,1,eligible,99,99,1.0,5220,3
CD008803,23532529,1,eligible,99,99,1.0,5220,3
CD008803,16965496,1,eligible,99,99,1.0,5220,3
CD008803,24610541,1,eligible,99,99,1.0,5220,3
CD008803,17270671,1,eligible,99,99,1.0,5220,3
CD008803,22266520,1,eligible,99,99,1.0,5220,3
CD008803,19737881,1,eligible,99,99,1.0,5220,3
CD008803,22079964,1,eligible,99,99,1.0,5220,3
CD008803,19969365,1,eligible,99,99,1.0,5220,3
CD008803,18078851,1,eligible,99,99,1.0,5220,3
CD008803,20851372,1,eligible,99,99,1.0,5220,2
CD008803,20663563,1,eligible,99,99,1.0,5220,3
CD008803,12583788,1,eligible,99,99,1.0,5220,3
CD008803,22027931,1,eligible,99,99,1.0,5220,3
CD008803,15953430,1,eligible,99,99,1.0,5220,3
CD008803,22410556,1,eligible,99,99,1.0,5220,3
CD008803,19797208,1,eligible,99,99,1.0,5220,3
CD008803,21474186,1,eligible,99,99,1.0,5220,3
CD008803,21377735,1,eligible,99,99,1.0,5220,3
CD008803,18045569,1,eligible,99,99,1.0,5220,3
CD008803,23539100,1,eligible,99,99,1.0,5220,2
CD008803,25015361,1,eligible,99,99,1.0,5220,3
CD008803,15465547,1,eligible,99,99,1.0,5220,3
CD008803,20577117,1,eligible,99,99,1.0,5220,3
CD008803,22167542,1,eligible,99,99,1.0,5220,3
CD008803,21522023,1,eligible,99,99,1.0,5220,3
CD008803,17445899,1,eligible,99,99,1.0,5220,3
CD008803,20012983,1,eligible,99,99,1.0,5220,3
CD008803,25194230,1,eligible,99,99,1.0,5220,2
CD008803,16185765,1,eligible,99,99,1.0,5220,3
CD008803,23722389,1,eligible,99,99,1.0,5220,3
CD008803,18097175,1,eligible,99,99,1.0,5220,3
CD008803,17106370,1,eligible,99,99,1.0,5220,2
CD008803,24576877,1,eligible,99,99,1.0,5220,2
CD008803,16877405,1,eligible,99,99,1.0,5220,3
CD008803,25167053,1,eligible,99,99,1.0,5220,3
CD008803,17459481,1,eligible,99,99,1.0,5220,3
CD008803,17035283,1,eligible,99,99,1.0,5220,3
CD008803,15197057,1,eligible,99,99,1.0,5220,3
CD008803,22668980,1,eligible,99,99,1.0,5220,3
CD008803,25034596,0,non_eligible,5121,100,51.21,5220,1
CD008803,24627246,0,non_eligible,5121,100,51.21,5220,2
CD008803,18657796,0,non_eligible,5121,100,51.21,5220,1
CD008803,21621262,0,non_eligible,5121,100,51.21,5220,1
CD008803,25301876,0,non_eligible,5121,100,51.21,5220,1
CD008803,15180837,0,non_eligible,5121,100,51.21,5220,1
CD008803,8909209,0,non_eligible,5121,100,51.21,5220,2
CD008803,8746253,0,non_eligible,5121,100,51.21,5220,0
CD008803,23982214,0,non_eligible,5121,100,51.21,5220,1
CD008803,2402404,0,non_eligible,5121,100,51.21,5220,1
CD008803,14142357,0,non_eligible,5121,100,51.21,5220,1
CD008803,22344014,0,non_eligible,5121,100,51.21,5220,0
CD008803,20566166,0,non_eligible,5121,100,51.21,5220,2
CD008803,1512668,0,non_eligible,5121,100,51.21,5220,1
CD008803,24946101,0,non_eligible,5121,100,51.21,5220,0
CD008803,16689260,0,non_eligible,5121,100,51.21,5220,3
CD008803,15932351,0,non_eligible,5121,100,51.21,5220,1
CD008803,22856228,0,non_eligible,5121,100,51.21,5220,2
CD008803,21105370,0,non_eligible,5121,100,51.21,5220,1
CD008803,23702433,0,non_eligible,5121,100,51.21,5220,1
CD008803,22902212,0,non_eligible,5121,100,51.21,5220,0
CD008803,18692244,0,non_eligible,5121,100,51.21,5220,1
CD008803,17109155,0,non_eligible,5121,100,51.21,5220,0
CD008803,25447111,0,non_eligible,5121,100,51.21,5220,3
CD008803,21853058,0,non_eligible,5121,100,51.21,5220,1
CD008803,16639669,0,non_eligible,5121,100,51.21,5220,2
CD008803,10709578,0,non_eligible,5121,100,51.21,5220,3
CD008803,23632535,0,non_eligible,5121,100,51.21,5220,1
CD008803,23006995,0,non_eligible,5121,100,51.21,5220,0
CD008803,24222299,0,non_eligible,5121,100,51.21,5220,1
CD008803,10080216,0,non_eligible,5121,100,51.21,5220,3
CD008803,4629760,0,non_eligible,5121,100,51.21,5220,0
CD008803,24763725,0,non_eligible,5121,100,51.21,5220,0
CD008803,23471893,0,non_eligible,5121,100,51.21,5220,0
CD008803,21055813,0,non_eligible,5121,100,51.21,5220,1
CD008803,18185142,0,non_eligible,5121,100,51.21,5220,0
CD008803,16703543,0,non_eligible,5121,100,51.21,5220,3
CD008803,25237762,0,non_eligible,5121,100,51.21,5220,2
CD008803,23422822,0,non_eligible,5121,100,51.21,5220,3
CD008803,19680054,0,non_eligible,5121,100,51.21,5220,2
CD009135,15715249,1,eligible,77,77,1.0,791,2
CD009135,11989529,1,eligible,77,77,1.0,791,3
CD009135,24270249,1,eligible,77,77,1.0,791,3
CD009135,16517995,1,eligible,77,77,1.0,791,3
CD009135,19859739,1,eligible,77,77,1.0,791,3
CD009135,14971701,1,eligible,77,77,1.0,791,3
CD009135,6391221,1,eligible,77,77,1.0,791,3
CD009135,11802273,1,eligible,77,77,1.0,791,3
CD009135,23717700,1,eligible,77,77,1.0,791,3
CD009135,16203020,1,eligible,77,77,1.0,791,3
CD009135,16103587,1,eligible,77,77,1.0,791,3
CD009135,9625911,1,eligible,77,77,1.0,791,2
CD009135,12567693,1,eligible,77,77,1.0,791,3
CD009135,23023349,1,eligible,77,77,1.0,791,3
CD009135,16333084,1,eligible,77,77,1.0,791,3
CD009135,18444568,1,eligible,77,77,1.0,791,1
CD009135,11251906,1,eligible,77,77,1.0,791,3
CD009135,18632926,1,eligible,77,77,1.0,791,3
CD009135,11164745,1,eligible,77,77,1.0,791,3
CD009135,16825347,1,eligible,77,77,1.0,791,2
CD009135,12685638,1,eligible,77,77,1.0,791,3
CD009135,19623643,1,eligible,77,77,1.0,791,3
CD009135,15189464,1,eligible,77,77,1.0,791,3
CD009135,21212210,1,eligible,77,77,1.0,791,3
CD009135,18813406,1,eligible,77,77,1.0,791,3
CD009135,16517998,1,eligible,77,77,1.0,791,3
CD009135,2035748,1,eligible,77,77,1.0,791,3
CD009135,20971441,1,eligible,77,77,1.0,791,3
CD009135,3768597,1,eligible,77,77,1.0,791,3
CD009135,15125515,1,eligible,77,77,1.0,791,3
CD009135,19070876,1,eligible,77,77,1.0,791,3
CD009135,18786847,1,eligible,77,77,1.0,791,1
CD009135,20054109,1,eligible,77,77,1.0,791,3
CD009135,18318933,1,eligible,77,77,1.0,791,2
CD009135,19257843,1,eligible,77,77,1.0,791,3
CD009135,23836568,1,eligible,77,77,1.0,791,3
CD009135,6549606,1,eligible,77,77,1.0,791,3
CD009135,12894040,1,eligible,77,77,1.0,791,3
CD009135,16407349,1,eligible,77,77,1.0,791,3
CD009135,17300637,1,eligible,77,77,1.0,791,3
CD009135,3611799,0,non_eligible,714,100,7.14,791,3
CD009135,1755052,0,non_eligible,714,100,7.14,791,3
CD009135,22088188,0,non_eligible,714,100,7.14,791,1
CD009135,17761496,0,non_eligible,714,100,7.14,791,1
CD009135,7992333,0,non_eligible,714,100,7.14,791,2
CD009135,23563762,0,non_eligible,714,100,7.14,791,1
CD009135,7570874,0,non_eligible,714,100,7.14,791,3
CD009135,23990996,0,non_eligible,714,100,7.14,791,0
CD009135,7814485,0,non_eligible,714,100,7.14,791,3
CD009135,8544037,0,non_eligible,714,100,7.14,791,3
CD009135,9163981,0,non_eligible,714,100,7.14,791,1
CD009135,7438541,0,non_eligible,714,100,7.14,791,3
CD009135,4604567,0,non_eligible,714,100,7.14,791,0
CD009135,15550258,0,non_eligible,714,100,7.14,791,3
CD009135,11986261,0,non_eligible,714,100,7.14,791,2
CD009135,2984847,0,non_eligible,714,100,7.14,791,1
CD009135,16778312,0,non_eligible,714,100,7.14,791,1
CD009135,10391861,0,non_eligible,714,100,7.14,791,3
CD009135,17488913,0,non_eligible,714,100,7.14,791,3
CD009135,20957193,0,non_eligible,714,100,7.14,791,1
CD009135,15517072,0,non_eligible,714,100,7.14,791,1
CD009135,10897360,0,non_eligible,714,100,7.14,791,3
CD009135,3680989,0,non_eligible,714,100,7.14,791,1
CD009135,8236390,0,non_eligible,714,100,7.14,791,3
CD009135,7650167,0,non_eligible,714,100,7.14,791,0
CD009135,1770880,0,non_eligible,714,100,7.14,791,2
CD009135,16882683,0,non_eligible,714,100,7.14,791,3
CD009135,1701934,0,non_eligible,714,100,7.14,791,1
CD009135,3301032,0,non_eligible,714,100,7.14,791,1
CD009135,9729541,0,non_eligible,714,100,7.14,791,3
CD009135,7570862,0,non_eligible,714,100,7.14,791,1
CD009135,20351785,0,non_eligible,714,100,7.14,791,1
CD009135,9097526,0,non_eligible,714,100,7.14,791,2
CD009135,18184669,0,non_eligible,714,100,7.14,791,1
CD009135,19209783,0,non_eligible,714,100,7.14,791,3
CD009135,12373503,0,non_eligible,714,100,7.14,791,1
CD009135,20378427,0,non_eligible,714,100,7.14,791,2
CD009135,23729024,0,non_eligible,714,100,7.14,791,1
CD009135,3059666,0,non_eligible,714,100,7.14,791,2
CD009135,11600910,0,non_eligible,714,100,7.14,791,1
CD009185,11578537,1,eligible,92,92,1.0,1615,1
CD009185,2868520,1,eligible,92,92,1.0,1615,1
CD009185,3725620,1,eligible,92,92,1.0,1615,1
CD009185,12107804,1,eligible,92,92,1.0,1615,3
CD009185,21247606,1,eligible,92,92,1.0,1615,1
CD009185,21080122,1,eligible,92,92,1.0,1615,2
CD009185,10654980,1,eligible,92,92,1.0,1615,1
CD009185,9685836,1,eligible,92,92,1.0,1615,1
CD009185,7696107,1,eligible,92,92,1.0,1615,1
CD009185,15379054,1,eligible,92,92,1.0,1615,2
CD009185,15507849,1,eligible,92,92,1.0,1615,1
CD009185,8239890,1,eligible,92,92,1.0,1615,1
CD009185,9196240,1,eligible,92,92,1.0,1615,0
CD009185,1093351,1,eligible,92,92,1.0,1615,1
CD009185,20850815,1,eligible,92,92,1.0,1615,1
CD009185,8390412,1,eligible,92,92,1.0,1615,1
CD009185,11685593,1,eligible,92,92,1.0,1615,1
CD009185,9499305,1,eligible,92,92,1.0,1615,1
CD009185,19352723,1,eligible,92,92,1.0,1615,1
CD009185,9588640,1,eligible,92,92,1.0,1615,1
CD009185,11368108,1,eligible,92,92,1.0,1615,2
CD009185,11687440,1,eligible,92,92,1.0,1615,1
CD009185,9832579,1,eligible,92,92,1.0,1615,2
CD009185,16791609,1,eligible,92,92,1.0,1615,1
CD009185,7692210,1,eligible,92,92,1.0,1615,1
CD009185,8740300,1,eligible,92,92,1.0,1615,1
CD009185,7057312,1,eligible,92,92,1.0,1615,1
CD009185,20852370,1,eligible,92,92,1.0,1615,1
CD009185,10799427,1,eligible,92,92,1.0,1615,1
CD009185,18074149,1,eligible,92,92,1.0,1615,1
CD009185,18087632,1,eligible,92,92,1.0,1615,2
CD009185,15893462,1,eligible,92,92,1.0,1615,3
CD009185,18836845,1,eligible,92,92,1.0,1615,2
CD009185,1589729,1,eligible,92,92,1.0,1615,1
CD009185,11511988,1,eligible,92,92,1.0,1615,1
CD009185,15981747,1,eligible,92,92,1.0,1615,1
CD009185,19687772,1,eligible,92,92,1.0,1615,1
CD009185,19377227,1,eligible,92,92,1.0,1615,1
CD009185,697217,1,eligible,92,92,1.0,1615,1
CD009185,16079986,1,eligible,92,92,1.0,1615,3
CD009185,5004030,0,non_eligible,1523,100,15.23,1615,0
CD009185,7024481,0,non_eligible,1523,100,15.23,1615,0
CD009185,16208176,0,non_eligible,1523,100,15.23,1615,0
CD009185,7120583,0,non_eligible,1523,100,15.23,1615,0
CD009185,16408432,0,non_eligible,1523,100,15.23,1615,0
CD009185,12642938,0,non_eligible,1523,100,15.23,1615,0
CD009185,12380905,0,non_eligible,1523,100,15.23,1615,1
CD009185,12954160,0,non_eligible,1523,100,15.23,1615,0
CD009185,9378920,0,non_eligible,1523,100,15.23,1615,1
CD009185,3075148,0,non_eligible,1523,100,15.23,1615,0
CD009185,11203154,0,non_eligible,1523,100,15.23,1615,0
CD009185,6400077,0,non_eligible,1523,100,15.23,1615,0
CD009185,6372686,0,non_eligible,1523,100,15.23,1615,0
CD009185,12700964,0,non_eligible,1523,100,15.23,1615,1
CD009185,1274565,0,non_eligible,1523,100,15.23,1615,2
CD009185,8752862,0,non_eligible,1523,100,15.23,1615,0
CD009185,14077924,0,non_eligible,1523,100,15.23,1615,0
CD009185,5860985,0,non_eligible,1523,100,15.23,1615,0
CD009185,663097,0,non_eligible,1523,100,15.23,1615,0
